course_id,title,sec_id,last_name,first_name,room_num,days,start_hr,start_min,end_hr,end_min
CMPE 415,Programmable Logic Devices,1,Mohsenin,Tinoosh,ITE 375,NYNYNNN,13,0,14,15
CMSC 203,Discrete Structures,6,Marron,Christopher,SHER003,NYNYNNN,13,0,14,15
CMSC 331,Principles of Programming Language,1,Shehab Uddin Ayub,Abu,SHER150,NYNYNNN,13,0,14,15
CMSC 341,Data Structures,2,Park,John,FA  014,NYNYNNN,13,0,14,15
CMSC 447,Software Engineering I,4,Joshi,Karuna,SHER015,NYNYNNN,13,0,14,15
CMSC 461,Database Management Systems,3,Kalpakis,Konstantin,ITE 227,NYNYNNN,13,0,14,15
CMSC 491,Special Topics in Computer Science,3,Banerjee,Nilanjan,ITE 233,NYNYNNN,13,0,14,15
DANC 110,Beginning Contemporary Dance Technique I,1,Rouiller,Florian,PAHB337,NYNYNNN,13,0,14,15
DANC 330,Dance Composition I,1,Rebollar,Erica,PAHB231,NYNYNNN,13,0,14,15
ECON 102,Principles of Macroeconomics,4,Gindling JR,Thomas,FA  306,NYNYNNN,13,0,14,15
ECON 301,Intermediate Accounting I,1,Brown,Lynette,SOND112,NYNYNNN,13,0,14,15
ECON 312,Intermediate Macroeconomic Analysis,2,Rose,Morgan,MP  104,NYNYNNN,13,0,14,15
ECON 451,Labor Economics,1,Dickson,Lisa,PUP 206,NYNYNNN,13,0,14,15
EHS 200,Concepts of Emergency Health Services,1,Yang,Jaeyoung,FA  011,NYNYNNN,13,0,14,15
EHS 350,Supervision and Operations in Emergency Health Ser,1,Walz,Bruce,SHER305,NYNYNNN,13,0,14,15
ELC 43,Speaking and Listening for Academic Purposes, Leve,1,Milter,Katalin,ENGR021A,NYNYNNN,13,0,14,15
ENGL 100,Composition,10,Kiehne,Ernest,PAHB317,NYNYNNN,13,0,14,15
ENGL 100,Composition,18,Burns,Margie,PAHB318,NYNYNNN,13,0,14,15
ENGL 100,Composition,25,Putzel,Diane,PAHB314,NYNYNNN,13,0,14,15
ENGL 110,Composition for ESL Students,1,Ware,Olga,ENGR122,NYNYNNN,13,0,14,15
ENGL 191,The World of Language II,1,Lambert-Bretiere,Renee,FA  015,NYNYNNN,13,0,14,15
ENGL 301,Analysis of Literary Language,2,Falco,Raphael,PAHB108,NYNYNNN,13,0,14,15
ENGL 324,Theories of Communication and Technology,1,Maher,Jennifer,PAHB428,NYNYNNN,13,0,14,15
ENGL 391,Advanced Exposition and Argumentation,3,McGurrin,Anthony,FA  424,NYNYNNN,13,0,14,15
ENGL 393,Technical Communication,5,Walters,April,ENGR021,NYNYNNN,13,0,14,15
ENGL 464,Studies in Women and Literature,1,McKinley,Kathryn,PAHB123,NYNYNNN,13,0,14,15
ENME 221,Dynamics,1,Irvine,David,PUP 105,NYNYNNN,13,0,14,15
ENME 408,Selected Topics in Engineering Design,2,Farquhar,Anthony,SHER006,NYNYNNN,13,0,14,15
FREN 315,French Phonetics,1,Ka,Omar,SHER007,NYNYNNN,13,0,14,15
GES 310,Geomorphology,1,Miller,Andrew,SOND204,NYNYNNN,13,0,14,15
GWST 321,Queer Representation in Film and TV,1,Kein,Kathryn,SOND203,NYNYNNN,13,0,14,15
GWST 464,Studies in Women and Literature,1,McKinley,Kathryn,PAHB123,NYNYNNN,13,0,14,15
HCST 100,The Human Context of Science and Technology,1,Brown,Eric,SOND113,NYNYNNN,13,0,14,15
HCST 100H,Introduction to the Human Context of Science and T,1,Brown,Eric,SOND113,NYNYNNN,13,0,14,15
HIST 242,Introduction to Contemporary Africa,1,Okoro,Sussie,FA  001,NYNYNNN,13,0,14,15
HIST 300,Introduction to Public History,1,Meringolo,Denise,MP  106,NYNYNNN,13,0,14,15
HIST 468,The Age of Enlightenment,1,Froide,Amy,SHER013,NYNYNNN,13,0,14,15
IS 101,Introduction to Computer Based Systems,1,Ozok,Asim,PHYS101,NYNYNNN,13,0,14,15
IS 300,Management Information Systems,5,Richards,Timothy,ENGR022,NYNYNNN,13,0,14,15
IS 304,Ethical Issues in Information Systems,1,Sponaugle,Richard,PHYS201,NYNYNNN,13,0,14,15
IS 369,Research Seminar: Writings In Information Systems,1,Ryan,William,ITE 468,NYNYNNN,13,0,14,15
IS 410,Introduction to Database Design,3,Zhou,Lina,ITE 458,NYNYNNN,13,0,14,15
KORE 302,Advanced Korean II,1,Yoon,Kyung-Eun,FA  006,NYNYNNN,13,0,14,15
LING 190,The World of Language I,2,Chung,May,SHER151,NYNYNNN,13,0,14,15
LING 191,The World of Language II,1,Lambert-Bretiere,Renee,FA  015,NYNYNNN,13,0,14,15
LRC 101A,Academic Success for Lifelong Learning,6,El Omari,Samir,ITE 241,NYNYNNN,13,0,14,15
MATH 152,Calculus and Analytic Geometry II,6,Dean,Brian,AD  101,NYNYNNN,13,0,14,15
MATH 430,Matrix Analysis,1,Shen,Jinglai,SHER145,NYNYNNN,13,0,14,15
MCS 333,History and Theory of Mass Communication and Media,1,Yang,Fan,FA  427,NYNYNNN,13,0,14,15
MCS 355,Social Media: Networking and Mobility.,1,Snyder,Donald,SOND111,NYNYNNN,13,0,14,15
MLL 190,The World of Language I,2,Chung,May,SHER151,NYNYNNN,13,0,14,15
MLL 191,The World of Language II,1,Lambert-Bretiere,Renee,FA  015,NYNYNNN,13,0,14,15
MLL 280,Introduction to the Spanish-Speaking World,1,Poggio,Sara,MP  012,NYNYNNN,13,0,14,15
MLL 327,Modern Japanese Culture,1,Hoogenboom,Tomoko,MP  010,NYNYNNN,13,0,14,15
MUSC 252,Music in Wartime,1,Johnson,Lindsay,PAHB132,NYNYNNN,13,0,14,15
MUSC 303,UMBC Camerata--Chamber Choir,1,Caracciolo,Stephen,PAHB144,NYNYNNN,13,0,14,15
MUSC 307,Small Ensemble,6,Goldstein,Thomas,PAHB173,NYNYNNN,13,0,14,15
MUSC 307,Small Ensemble,8,Belzer,Matthew,PAHB141,NYNYNNN,13,0,14,15
PHED 111,Cardio Fitness,2,Jancuska JR,John,RAC 100,NYNYNNN,13,0,14,15
PHED 133,Walking and Jogging,3,Stephens,Morgan,RAC 100,NYNYNNN,13,0,14,15
PHIL 152,Introduction to Moral Theory,5,Ealick,Greg,PAHB107,NYNYNNN,13,0,14,15
